epoch,accuracy,loss,val_accuracy,val_loss
0,0.4779961109161377,1.1751881837844849,0.5072045922279358,1.102384328842163
1,0.6537503600120544,0.8502340912818909,0.5561959743499756,1.0949355363845825
2,0.7351231575012207,0.6824232935905457,0.5417867302894592,1.1390278339385986
3,0.79213947057724,0.5501837134361267,0.5965417623519897,1.1485450267791748
4,0.84721839427948,0.4375072717666626,0.5763688683509827,1.1887818574905396
5,0.8610572814941406,0.3703320324420929,0.5821325778961182,1.4242312908172607
6,0.9053418040275574,0.27780643105506897,0.5533141493797302,1.5697449445724487
7,0.9155825972557068,0.2525314390659332,0.5533141493797302,1.5703375339508057
8,0.9305286407470703,0.21179670095443726,0.5561959743499756,1.589164137840271
9,0.9357874393463135,0.18173415958881378,0.6080691814422607,1.641692876815796
10,0.9463050365447998,0.15627264976501465,0.5850144028663635,1.8419268131256104
11,0.9562690258026123,0.13443265855312347,0.5475504398345947,1.8635480403900146
12,0.9424301385879517,0.16338594257831573,0.5475504398345947,1.8218419551849365
13,0.9612510204315186,0.12471528351306915,0.5533141493797302,2.129939079284668
14,0.9535012245178223,0.13300082087516785,0.5706051588058472,2.0725865364074707
15,0.9670633673667908,0.09998594969511032,0.5619596838951111,1.9873541593551636
16,0.972045361995697,0.09306781738996506,0.5504322648048401,2.0033657550811768
17,0.975643515586853,0.08274287730455399,0.5850144028663635,2.0889322757720947
18,0.9717686176300049,0.08313262462615967,0.5706051588058472,2.129546642303467
19,0.9526709318161011,0.14214912056922913,0.5331411957740784,2.0890157222747803
20,0.9532244801521301,0.1300947666168213,0.579250693321228,2.048924446105957
21,0.973706066608429,0.07915107905864716,0.6109510064125061,2.022122383117676
22,0.9767506122589111,0.06564366817474365,0.559077799320221,2.2386527061462402
23,0.9739828109741211,0.0746225044131279,0.5821325778961182,2.469961643218994
24,0.9557154774665833,0.12040608376264572,0.5878962278366089,2.439755916595459
