epoch,accuracy,loss,val_accuracy,val_loss
0,0.36894547939300537,1.3266963958740234,0.45821326971054077,1.2520925998687744
1,0.6540271043777466,0.9754246473312378,0.6714697480201721,0.9153346419334412
2,0.7896484732627869,0.5728184580802917,0.6829971075057983,0.800990641117096
3,0.845557689666748,0.41687968373298645,0.7002881765365601,0.7983672618865967
4,0.8751729726791382,0.33557355403900146,0.6887608170509338,0.8361440896987915
5,0.8975920081138611,0.2821189761161804,0.6743515729904175,0.8603265881538391
6,0.920011043548584,0.22933067381381989,0.6772334575653076,0.9662343859672546
7,0.9377248883247375,0.19651275873184204,0.680115282535553,0.9847395420074463
8,0.9474121332168579,0.16740012168884277,0.6714697480201721,1.0234613418579102
9,0.9565458297729492,0.1472475379705429,0.6945244669914246,1.1012887954711914
10,0.9598671197891235,0.13015484809875488,0.6772334575653076,1.1712357997894287
11,0.9673401713371277,0.11279051750898361,0.6829971075057983,1.2127450704574585
12,0.9698311686515808,0.1066603884100914,0.6570605039596558,1.2586101293563843
13,0.9665098190307617,0.10269062221050262,0.6714697480201721,1.323742389678955
14,0.9725989699363708,0.08656453341245651,0.6714697480201721,1.3264472484588623
15,0.9725989699363708,0.09007252007722855,0.6714697480201721,1.3773338794708252
16,0.9717686176300049,0.08980496227741241,0.6657060384750366,1.4224967956542969
17,0.9753667116165161,0.0812516063451767,0.6887608170509338,1.4175466299057007
18,0.972875714302063,0.0817665383219719,0.6714697480201721,1.4699674844741821
19,0.9759202599525452,0.07188685238361359,0.6858789920806885,1.45940101146698
20,0.975643515586853,0.06712959706783295,0.6743515729904175,1.4919908046722412
21,0.975643515586853,0.07005859166383743,0.6772334575653076,1.5130293369293213
22,0.9789648652076721,0.06528208404779434,0.6685879230499268,1.5293920040130615
23,0.977027416229248,0.06355166435241699,0.6772334575653076,1.5442478656768799
24,0.977027416229248,0.0624709315598011,0.6858789920806885,1.578315258026123
